区分	漢字	読み方	漢字部	意味	image	point
78	部分	ぶぶん	Bộ, Phận	Bộ phận	イメージ/漢字/部分	0
79	学部	がくぶ	Học, Bộ	Khoa (ngành)	イメージ/漢字/学部	0
80	喫茶店	きっさてん	Khiết, Trà, Điếm	Quán cf, trà. Tiệm giải khát	イメージ/漢字/喫茶店	0
81	喫煙所	きつえんじょ	Khiết, Yên, Sở	Khu vực hút thuốc	イメージ/漢字/喫煙所	0
82	非～	ひ～	Phi	Không 	イメージ/漢字/非～	0
83	非常に	ひじょうに	Phi, Thường	Khẩn cấp, cấp bách, rất	イメージ/漢字/非常に	0
84	御～	ご～・お～	Ngự	Kanji của kính ngữ	イメージ/漢字/御～	0
85	御中	おんちゅう	Ngự, Trung	Kính gửi	イメージ/漢字/御中	0
86	御手洗い	おてあらい	Ngự, Thủ, Tẩy	Nhà vệ sinh	イメージ/漢字/御手洗い	0
87	常に	つねに	Thường	Thường thường, いつも・よく	イメージ/漢字/常に	0
88	日常	にちじょう	Nhật, Thường	Thường ngày. Ngày bình thường	イメージ/漢字/日常	0
89	常識	じょうしき	Thường, Thức	Kiến thức thông thường	イメージ/漢字/常識	0
90	受ける	うける	Thụ	Tiếp thu. Tham gia	イメージ/漢字/受ける	0
91	受験	じゅけん	Thụ, Nghiệm	Dự thi	イメージ/漢字/受験	0
92	～付き	～つき	Phó	Đính kèm	イメージ/漢字/～付き	0
93	付近	ふきん	Phó, Cận	Gần, lân cận	イメージ/漢字/付近	0
94	受付	うけつけ	Thụ, Phó	Lễ tân	イメージ/漢字/受付	0
95	日付	ひづけ	Nhật, Phó	Ngày tháng	イメージ/漢字/日付	0
96	案	あん	Án	Phương án, đề xuất	イメージ/漢字/案	0
97	案内	あんない	Án, Nội	Hướng dẫn	イメージ/漢字/案内	0
98	～内	～ない	Nội	Bên trong	イメージ/漢字/～内	0
99	内	うち	Nội	Nhà 	イメージ/漢字/内	0
100	以内	いない	Dĩ, Nội	Trong vòng, trong khoảng	イメージ/漢字/以内	0
101	社内	しゃない	Xã, Nội	Nội bộ công ty	イメージ/漢字/社内	0
102	会議室	かいぎしつ	Hội, Nghị, Thất	Phòng họp	イメージ/漢字/会議室	0
103	議論	ぎろん	Nghị, Luận	Sự tranh luận	イメージ/漢字/議論	0
104	不思議な	ふしぎな	Bất, Tư, Nghị	Bí ẩn	イメージ/漢字/不思議な	0
105	議員	ぎいん	Nghị, Viên	Đại biểu quốc hội, nghị sĩ	イメージ/漢字/議員	0
106	～化	～か	~Hóa	Chuyển hóa	イメージ/漢字/～化	0
107	文化	ぶんか	Văn, Hóa	Văn hóa	イメージ/漢字/文化	0
108	化学	かがく	Hóa, Học	Hóa học	イメージ/漢字/化学	0
109	化粧室	けしょうしつ	Hóa, Trang, Thất	Phòng trang điểm, phòng vệ sinh, phòng rửa mặt	イメージ/漢字/化粧室	0
